datetime,game_length,game_result,time_per_game,training_steps
2025-11-12 10:52:13,11,B+1.0,4.0283,39000
2025-11-12 10:52:17,15,B+1.0,4.0836,39000
2025-11-12 10:52:32,29,B+1.0,5.9207,39000
2025-11-12 10:52:35,9,B+1.0,5.2486,39000
2025-11-12 10:52:41,17,B+1.0,5.4573,39000
2025-11-12 10:52:47,19,B+1.0,5.4521,39000
2025-11-12 10:52:51,13,B+1.0,5.3171,39000
2025-11-12 10:52:54,9,B+1.0,5.0027,39000
2025-11-12 10:53:02,26,W+1.0,5.329,39000
2025-11-12 10:53:06,14,W+1.0,5.1915,39000
2025-11-12 10:53:08,9,B+1.0,4.9377,39000
2025-11-12 10:53:13,12,W+1.0,4.9162,39000
2025-11-12 10:53:17,11,B+1.0,4.8434,39000
2025-11-12 10:53:21,11,B+1.0,4.754,39000
2025-11-12 10:53:25,17,B+1.0,4.7567,39000
2025-11-12 10:53:32,23,B+1.0,4.8932,39000
2025-11-12 10:53:37,17,B+1.0,4.8892,39000
2025-11-12 10:53:42,16,W+1.0,4.9037,39000
2025-11-12 10:53:46,14,W+1.0,4.8369,39000
2025-11-12 10:53:50,19,B+1.0,4.7958,39000
2025-11-12 10:53:53,9,B+1.0,4.7052,39000
2025-11-12 10:53:58,20,W+1.0,4.7133,39000
2025-11-12 10:54:06,28,W+1.0,4.8618,39000
2025-11-12 10:54:08,9,B+1.0,4.765,39000
2025-11-12 10:54:11,9,B+1.0,4.6677,39000
2025-11-12 10:54:13,9,B+1.0,4.5837,39000
2025-11-12 10:54:19,19,B+1.0,4.6346,39000
2025-11-12 10:54:22,9,B+1.0,4.5575,39000
2025-11-12 10:54:25,11,B+1.0,4.5302,39000
2025-11-12 10:54:31,14,W+1.0,4.5585,39000
2025-11-12 10:54:33,9,B+1.0,4.4871,39000
2025-11-12 10:54:41,27,B+1.0,4.5941,39000
2025-11-12 10:54:45,14,W+1.0,4.5863,39000
2025-11-12 10:54:51,20,W+1.0,4.6208,39000
2025-11-12 10:54:54,9,B+1.0,4.5761,39000
2025-11-12 10:54:57,9,B+1.0,4.523,39000
2025-11-12 10:55:06,31,B+1.0,4.66,39000
2025-11-12 10:55:11,17,B+1.0,4.6483,39000
2025-11-12 10:55:15,11,B+1.0,4.6412,39000
2025-11-12 10:55:19,15,B+1.0,4.6283,39000
