datetime,game_length,game_result,time_per_game,training_steps
2025-11-11 22:08:16,32,W+1.0,8.7575,0
2025-11-11 22:08:22,22,W+1.0,6.9355,0
2025-11-11 22:08:29,31,B+1.0,7.1011,0
2025-11-11 22:08:37,34,W+1.0,7.3464,0
2025-11-11 22:08:47,39,B+1.0,7.8129,0
2025-11-11 22:08:52,21,B+1.0,7.3789,0
2025-11-11 22:09:01,36,W+1.0,7.5587,0
2025-11-11 22:09:09,33,B+1.0,7.6247,0
2025-11-11 22:09:20,46,W+1.0,8.0767,0
2025-11-11 22:09:29,34,W+1.0,8.1106,0
2025-11-11 22:09:36,32,W+1.0,8.0719,0
2025-11-11 22:09:44,31,B+1.0,8.0201,0
2025-11-11 22:09:52,32,W+1.0,8.0203,0
2025-11-11 22:09:58,27,B+1.0,7.9129,0
2025-11-11 22:10:04,24,W+1.0,7.7837,0
2025-11-11 22:10:13,36,W+1.0,7.8496,0
2025-11-11 22:10:21,35,B+1.0,7.8685,0
2025-11-11 22:10:32,39,B+1.0,7.9913,0
2025-11-11 22:10:43,49,B+1.0,8.1985,0
2025-11-11 22:10:50,29,B+1.0,8.1316,0
2025-11-11 22:10:57,28,W+1.0,8.0646,0
2025-11-11 22:11:05,31,B+1.0,8.0394,0
2025-11-11 22:11:12,30,W+1.0,8.0045,0
2025-11-11 22:11:19,29,B+1.0,7.9662,0
2025-11-11 22:11:23,18,W+1.0,7.8313,0
2025-11-11 22:11:32,37,B+1.0,7.8619,0
2025-11-11 22:11:40,31,B+1.0,7.8531,0
2025-11-11 22:11:49,37,B+1.0,7.8874,0
2025-11-11 22:11:53,20,W+1.0,7.7788,0
2025-11-11 22:12:01,34,W+1.0,7.7876,0
2025-11-11 22:12:10,37,B+1.0,7.8177,0
2025-11-11 22:12:15,21,B+1.0,7.7256,0
2025-11-11 22:12:22,29,B+1.0,7.7171,0
2025-11-11 22:12:31,33,B+1.0,7.7375,0
2025-11-11 22:12:42,45,B+1.0,7.8248,0
2025-11-11 22:12:49,31,B+1.0,7.8205,0
2025-11-11 22:13:01,48,W+1.0,7.9311,0
2025-11-11 22:13:09,32,W+1.0,7.9258,0
2025-11-11 22:13:19,44,W+1.0,7.9925,0
2025-11-11 22:13:25,24,W+1.0,7.9336,0
2025-11-11 22:13:35,40,W+1.0,7.9782,0
2025-11-11 22:13:39,19,B+1.0,7.8877,0
2025-11-11 22:13:49,41,B+1.0,7.9352,0
2025-11-11 22:13:59,40,W+1.0,7.9755,0
2025-11-11 22:14:06,31,B+1.0,7.9604,0
2025-11-11 22:14:15,37,B+1.0,7.9811,0
2025-11-11 22:14:22,31,B+1.0,7.967,0
2025-11-11 22:14:30,35,B+1.0,7.9691,0
2025-11-11 22:14:40,39,B+1.0,8.0066,0
2025-11-11 22:14:44,19,B+1.0,7.933,0
2025-11-11 22:14:52,30,W+1.0,7.921,0
2025-11-11 22:14:57,25,B+1.0,7.878,0
2025-11-11 22:15:05,30,W+1.0,7.8641,0
2025-11-11 22:15:14,39,B+1.0,7.8988,0
2025-11-11 22:15:23,38,W+1.0,7.9218,0
2025-11-11 22:15:31,30,W+1.0,7.9097,0
2025-11-11 22:15:40,38,W+1.0,7.9345,0
2025-11-11 22:15:45,21,B+1.0,7.887,0
2025-11-11 22:15:53,31,B+1.0,7.8823,0
2025-11-11 22:16:03,40,W+1.0,7.9162,0
2025-11-11 22:16:05,12,W+1.0,7.8309,0
2025-11-11 22:16:16,44,W+1.0,7.8773,0
2025-11-11 22:16:28,47,B+1.0,7.9395,0
2025-11-11 22:16:36,33,B+1.0,7.9411,0
2025-11-11 22:16:46,39,B+1.0,7.9665,0
2025-11-11 22:16:54,36,W+1.0,7.9786,0
2025-11-11 22:17:03,35,B+1.0,7.9855,0
2025-11-11 22:17:13,42,W+1.0,8.0189,0
2025-11-11 22:17:20,30,W+1.0,8.0085,0
2025-11-11 22:17:30,40,W+1.0,8.038,0
2025-11-11 22:17:38,31,B+1.0,8.0355,0
2025-11-11 22:17:50,48,W+1.0,8.0872,0
2025-11-11 22:18:01,43,B+1.0,8.1253,0
2025-11-11 22:18:11,41,B+1.0,8.1477,0
2025-11-11 22:18:21,40,W+1.0,8.1716,0
2025-11-11 22:18:31,42,W+1.0,8.207,0
2025-11-11 22:18:41,39,B+1.0,8.2292,0
2025-11-11 22:18:48,29,B+1.0,8.214,0
2025-11-11 22:18:56,32,W+1.0,8.209,0
2025-11-11 22:19:04,34,W+1.0,8.2068,0
2025-11-11 22:19:11,27,B+1.0,8.1847,0
2025-11-11 22:19:20,36,W+1.0,8.1923,0
2025-11-11 22:19:31,45,B+1.0,8.2269,0
2025-11-11 22:19:43,50,W+1.0,8.277,0
2025-11-11 22:19:49,25,B+1.0,8.2472,0
2025-11-11 22:19:58,38,W+1.0,8.2609,0
2025-11-11 22:20:08,39,B+1.0,8.2772,0
2025-11-11 22:20:14,25,B+1.0,8.2491,0
2025-11-11 22:20:18,17,B+1.0,8.2007,0
2025-11-11 22:20:28,42,W+1.0,8.2198,0
2025-11-11 22:20:38,42,W+1.0,8.2441,0
2025-11-11 22:20:46,31,B+1.0,8.2375,0
2025-11-11 22:20:53,30,W+1.0,8.226,0
2025-11-11 22:21:01,31,B+1.0,8.2217,0
2025-11-11 22:21:08,33,B+1.0,8.2159,0
2025-11-11 22:21:14,26,W+1.0,8.193,0
2025-11-11 22:21:23,36,W+1.0,8.1986,0
2025-11-11 22:21:33,39,B+1.0,8.2133,0
2025-11-11 22:21:40,32,W+1.0,8.2078,0
2025-11-11 22:21:50,40,W+1.0,8.2218,0
2025-11-11 22:21:57,31,B+1.0,8.2067,0
2025-11-11 22:22:06,37,B+1.0,8.246,0
2025-11-11 22:22:16,41,B+1.0,8.2686,0
2025-11-11 22:22:24,34,W+1.0,8.2642,0
2025-11-11 22:22:30,27,B+1.0,8.2322,0
2025-11-11 22:22:38,33,B+1.0,8.2576,0
2025-11-11 22:22:44,24,W+1.0,8.2297,0
2025-11-11 22:22:53,39,B+1.0,8.2449,0
2025-11-11 22:23:05,46,W+1.0,8.2454,0
2025-11-11 22:23:16,41,B+1.0,8.2673,0
2025-11-11 22:23:22,28,W+1.0,8.2586,0
2025-11-11 22:23:26,18,W+1.0,8.2242,0
2025-11-11 22:23:35,34,W+1.0,8.2254,0
2025-11-11 22:23:43,34,W+1.0,8.2406,0
2025-11-11 22:23:53,40,W+1.0,8.282,0
2025-11-11 22:24:00,29,B+1.0,8.263,0
2025-11-11 22:24:10,39,B+1.0,8.2806,0
2025-11-11 22:24:18,35,B+1.0,8.2649,0
2025-11-11 22:24:26,32,W+1.0,8.2205,0
2025-11-11 22:24:33,33,B+1.0,8.23,0
2025-11-11 22:24:40,24,W+1.0,8.2237,0
2025-11-11 22:24:45,21,B+1.0,8.2001,0
2025-11-11 22:24:53,34,W+1.0,8.2074,0
2025-11-11 22:25:02,40,W+1.0,8.2311,0
2025-11-11 22:25:07,19,B+1.0,8.2311,0
2025-11-11 22:25:16,38,W+1.0,8.2378,0
2025-11-11 22:25:26,41,B+1.0,8.2629,0
2025-11-11 22:25:36,40,W+1.0,8.2765,0
2025-11-11 22:25:47,42,W+1.0,8.3375,0
2025-11-11 22:25:55,33,B+1.0,8.3365,0
2025-11-11 22:26:07,44,W+1.0,8.3653,0
2025-11-11 22:26:11,17,B+1.0,8.3568,0
2025-11-11 22:26:16,24,W+1.0,8.3388,0
2025-11-11 22:26:23,29,B+1.0,8.3232,0
2025-11-11 22:26:27,18,W+1.0,8.2578,0
2025-11-11 22:26:32,16,W+1.0,8.2218,0
2025-11-11 22:26:43,46,W+1.0,8.2223,0
2025-11-11 22:26:51,30,W+1.0,8.2189,0
2025-11-11 22:27:01,43,B+1.0,8.2167,0
2025-11-11 22:27:09,31,B+1.0,8.2387,0
2025-11-11 22:27:16,29,B+1.0,8.2113,0
2025-11-11 22:27:20,17,B+1.0,8.2089,0
2025-11-11 22:27:26,25,B+1.0,8.1723,0
2025-11-11 22:27:33,28,W+1.0,8.1404,0
2025-11-11 22:27:42,38,W+1.0,8.1625,0
2025-11-11 22:27:52,39,B+1.0,8.1688,0
2025-11-11 22:27:58,25,B+1.0,8.1555,0
2025-11-11 22:28:02,19,B+1.0,8.1197,0
2025-11-11 22:28:07,20,W+1.0,8.0664,0
2025-11-11 22:28:17,39,B+1.0,8.122,0
2025-11-11 22:28:25,33,B+1.0,8.1282,0
2025-11-11 22:28:34,40,W+1.0,8.1684,0
2025-11-11 22:28:45,44,W+1.0,8.1994,0
2025-11-11 22:28:51,27,B+1.0,8.1663,0
2025-11-11 22:29:00,37,B+1.0,8.1634,0
2025-11-11 22:29:08,35,B+1.0,8.173,0
2025-11-11 22:29:15,31,B+1.0,8.1507,0
2025-11-11 22:29:22,30,W+1.0,8.1696,0
2025-11-11 22:29:27,22,W+1.0,8.1456,0
2025-11-11 22:29:33,21,B+1.0,8.0985,0
2025-11-11 22:29:39,26,W+1.0,8.1324,0
2025-11-11 22:29:50,46,W+1.0,8.1334,0
2025-11-11 22:29:58,35,B+1.0,8.1029,0
2025-11-11 22:30:05,29,B+1.0,8.0894,0
2025-11-11 22:30:17,47,B+1.0,8.1151,0
2025-11-11 22:30:26,39,B+1.0,8.1186,0
2025-11-11 22:30:33,27,B+1.0,8.0974,0
2025-11-11 22:30:38,23,B+1.0,8.052,0
2025-11-11 22:30:42,17,B+1.0,8.0206,0
2025-11-11 22:30:49,25,B+1.0,7.9811,0
2025-11-11 22:30:56,31,B+1.0,7.9791,0
2025-11-11 22:31:07,45,B+1.0,7.9725,0
2025-11-11 22:31:12,21,B+1.0,7.9132,0
2025-11-11 22:31:20,32,W+1.0,7.8962,0
2025-11-11 22:31:28,33,B+1.0,7.8736,0
2025-11-11 22:31:34,23,B+1.0,7.8226,0
2025-11-11 22:31:43,38,W+1.0,7.8159,0
2025-11-11 22:31:53,39,B+1.0,7.8403,0
2025-11-11 22:32:01,35,B+1.0,7.8458,0
