datetime,training_steps,game_length,game_result,black_elo_rating,white_elo_rating
2025-11-11 22:56:20,1000,26,W+1.0,-15.263693206478006,16.0
2025-11-11 23:35:57,2000,17,B+1.0,0.7363067935219938,-30.527386412956012
2025-11-12 00:10:33,3000,13,B+1.0,16.736306793521994,-14.527386412956012
2025-11-12 00:40:09,4000,14,W+1.0,1.4726135870439876,32.73630679352199
2025-11-12 01:06:44,5000,12,W+1.0,-13.791079619434019,17.472613587043988
2025-11-12 01:27:49,6000,9,B+1.0,2.2089203805659814,-29.054772825912025
2025-11-12 01:45:22,7000,9,B+1.0,18.20892038056598,-13.054772825912025
2025-11-12 02:01:26,8000,9,B+1.0,34.208920380565985,2.945227174087975
2025-11-12 02:17:02,9000,17,B+1.0,50.208920380565985,18.94522717408798
2025-11-12 02:30:36,10000,9,B+1.0,66.20892038056598,34.945227174087975
2025-11-12 02:43:39,11000,9,B+1.0,82.20892038056598,50.945227174087975
2025-11-12 02:55:44,12000,13,B+1.0,98.20892038056598,66.94522717408798
2025-11-12 03:07:23,13000,26,W+1.0,82.94522717408798,114.20892038056598
2025-11-12 03:18:28,14000,13,B+1.0,98.94522717408798,67.68153396760997
2025-11-12 03:30:34,15000,13,B+1.0,114.94522717408798,83.68153396760997
2025-11-12 03:43:09,16000,15,B+1.0,130.94522717408796,99.68153396760997
2025-11-12 03:55:45,17000,18,W+1.0,115.68153396760995,146.94522717408796
2025-11-12 04:08:24,18000,22,W+1.0,100.41784076113194,131.68153396760994
2025-11-12 04:21:29,19000,15,B+1.0,116.41784076113194,85.15414755465393
2025-11-12 04:34:35,20000,17,B+1.0,132.41784076113194,101.15414755465393
2025-11-12 04:48:15,21000,25,B+1.0,148.41784076113194,117.15414755465393
2025-11-12 05:01:20,22000,14,W+1.0,133.15414755465395,164.41784076113194
2025-11-12 05:14:02,23000,34,W+1.0,117.89045434817594,149.15414755465395
2025-11-12 05:28:10,24000,20,W+1.0,102.62676114169793,133.89045434817592
2025-11-12 05:42:50,25000,27,B+1.0,118.62676114169793,87.36306793521992
2025-11-12 05:55:58,26000,22,W+1.0,103.36306793521992,134.62676114169793
2025-11-12 06:09:36,27000,19,B+1.0,119.36306793521992,88.0993747287419
2025-11-12 07:56:07,28000,31,B+1.0,135.36306793521993,104.0993747287419
2025-11-12 08:10:48,29000,27,B+1.0,151.36306793521993,120.09937472874192
2025-11-12 08:25:26,30000,22,W+1.0,136.09937472874194,167.36306793521993
2025-11-12 08:40:33,31000,17,B+1.0,152.09937472874194,120.83568152226393
2025-11-12 08:56:41,32000,18,W+1.0,136.83568152226394,168.09937472874194
2025-11-12 09:11:18,33000,17,B+1.0,152.83568152226394,121.57198831578593
2025-11-12 09:25:56,34000,20,W+1.0,137.57198831578594,168.83568152226394
2025-11-12 09:40:35,35000,23,B+1.0,153.57198831578594,122.30829510930793
2025-11-12 09:56:12,36000,16,W+1.0,138.30829510930795,169.57198831578594
2025-11-12 10:10:21,37000,21,B+1.0,154.30829510930795,123.04460190282994
2025-11-12 10:24:58,38000,17,B+1.0,170.30829510930795,139.04460190282995
2025-11-12 10:39:38,39000,25,B+1.0,186.30829510930795,155.04460190282995
2025-11-12 11:07:49,40000,16,W+1.0,171.04460190282995,202.30829510930795
2025-11-12 11:22:58,41000,15,B+1.0,187.04460190282995,155.78090869635196
2025-11-12 11:38:10,42000,21,B+1.0,203.04460190282995,171.78090869635196
2025-11-12 11:52:52,43000,17,B+1.0,219.04460190282995,187.78090869635196
