datetime,game_length,game_result,time_per_game,training_steps
2025-11-12 10:52:15,9,B+1.0,4.5265,39000
2025-11-12 10:52:18,15,B+1.0,3.8986,39000
2025-11-12 10:52:26,11,B+1.0,4.0005,39000
2025-11-12 10:52:33,19,B+1.0,4.6717,39000
2025-11-12 10:52:38,14,W+1.0,4.7201,39000
2025-11-12 10:52:41,10,W+1.0,4.4955,39000
2025-11-12 10:52:45,11,B+1.0,4.4464,39000
2025-11-12 10:52:51,15,B+1.0,4.5237,39000
2025-11-12 10:52:57,21,B+1.0,4.7507,39000
2025-11-12 10:53:06,27,B+1.0,5.186,39000
2025-11-12 10:53:14,26,W+1.0,5.3973,39000
2025-11-12 10:53:18,14,W+1.0,5.3008,39000
2025-11-12 10:53:21,9,B+1.0,5.1456,39000
2025-11-12 10:53:26,11,B+1.0,5.1126,39000
2025-11-12 10:53:32,16,W+1.0,5.1441,39000
2025-11-12 10:53:41,33,B+1.0,5.414,39000
2025-11-12 10:53:48,30,W+1.0,5.4922,39000
2025-11-12 10:53:54,21,B+1.0,5.5418,39000
2025-11-12 10:53:57,9,B+1.0,5.383,39000
2025-11-12 10:54:02,15,B+1.0,5.364,39000
2025-11-12 10:54:05,9,B+1.0,5.256,39000
2025-11-12 10:54:08,9,B+1.0,5.1438,39000
2025-11-12 10:54:12,15,B+1.0,5.1209,39000
2025-11-12 10:54:19,19,B+1.0,5.1909,39000
2025-11-12 10:54:23,13,B+1.0,5.1653,39000
2025-11-12 10:54:28,17,B+1.0,5.1215,39000
2025-11-12 10:54:34,18,W+1.0,5.1684,39000
2025-11-12 10:54:37,9,B+1.0,5.1044,39000
2025-11-12 10:54:40,9,B+1.0,5.0261,39000
2025-11-12 10:54:46,13,B+1.0,5.0535,39000
2025-11-12 10:54:53,18,W+1.0,5.1318,39000
2025-11-12 10:54:58,15,B+1.0,5.12,39000
2025-11-12 10:55:02,9,B+1.0,5.065,39000
2025-11-12 10:55:09,18,W+1.0,5.1292,39000
2025-11-12 10:55:12,9,B+1.0,5.0698,39000
2025-11-12 10:55:15,9,B+1.0,5.0132,39000
2025-11-12 10:55:25,31,B+1.0,5.1609,39000
2025-11-12 10:55:29,9,B+1.0,5.1161,39000
2025-11-12 10:55:33,11,B+1.0,5.0803,39000
2025-11-12 10:55:38,16,W+1.0,5.0862,39000
2025-11-12 10:55:43,13,B+1.0,5.0819,39000
2025-11-12 10:55:46,13,B+1.0,5.0489,39000
2025-11-12 10:55:49,9,B+1.0,4.9879,39000
2025-11-12 10:55:52,11,B+1.0,4.9506,39000
2025-11-12 10:55:56,11,B+1.0,4.9288,39000
2025-11-12 10:56:00,15,B+1.0,4.9102,39000
2025-11-12 10:56:03,9,B+1.0,4.8582,39000
2025-11-12 10:56:06,9,B+1.0,4.8172,39000
2025-11-12 10:56:09,11,B+1.0,4.7928,39000
2025-11-12 10:56:13,13,B+1.0,4.781,39000
2025-11-12 10:56:16,9,B+1.0,4.7298,39000
