datetime,game_length,game_result,time_per_game,training_steps
2025-11-12 10:52:18,31,B+1.0,9.1758,39000
2025-11-12 10:52:25,9,B+1.0,5.9581,39000
2025-11-12 10:52:31,21,B+1.0,5.9265,39000
2025-11-12 10:52:35,14,W+1.0,5.4157,39000
2025-11-12 10:52:38,15,B+1.0,5.0328,39000
2025-11-12 10:52:42,13,B+1.0,4.8726,39000
2025-11-12 10:52:45,9,B+1.0,4.6181,39000
2025-11-12 10:52:49,17,B+1.0,4.5638,39000
2025-11-12 10:52:52,11,B+1.0,4.3151,39000
2025-11-12 10:52:54,9,B+1.0,4.1458,39000
2025-11-12 10:52:57,11,B+1.0,4.0372,39000
2025-11-12 10:53:01,15,B+1.0,4.0111,39000
2025-11-12 10:53:04,9,B+1.0,3.9238,39000
2025-11-12 10:53:07,14,W+1.0,3.8469,39000
2025-11-12 10:53:12,13,B+1.0,3.904,39000
2025-11-12 10:53:18,15,B+1.0,4.0503,39000
2025-11-12 10:53:24,13,B+1.0,4.2048,39000
2025-11-12 10:53:28,11,B+1.0,4.1464,39000
2025-11-12 10:53:32,10,W+1.0,4.1394,39000
2025-11-12 10:53:44,37,B+1.0,4.5292,39000
2025-11-12 10:53:46,9,B+1.0,4.4286,39000
2025-11-12 10:53:50,11,B+1.0,4.4304,39000
2025-11-12 10:53:54,9,B+1.0,4.392,39000
2025-11-12 10:54:00,23,B+1.0,4.4792,39000
2025-11-12 10:54:05,15,B+1.0,4.4843,39000
2025-11-12 10:54:09,11,B+1.0,4.4567,39000
2025-11-12 10:54:12,11,B+1.0,4.418,39000
2025-11-12 10:54:16,14,W+1.0,4.4096,39000
2025-11-12 10:54:19,9,B+1.0,4.3439,39000
2025-11-12 10:54:22,11,B+1.0,4.2927,39000
2025-11-12 10:54:25,9,B+1.0,4.25,39000
2025-11-12 10:54:28,9,B+1.0,4.208,39000
2025-11-12 10:54:31,13,B+1.0,4.1841,39000
2025-11-12 10:54:36,13,B+1.0,4.2011,39000
2025-11-12 10:54:39,9,B+1.0,4.161,39000
2025-11-12 10:54:46,21,B+1.0,4.2397,39000
2025-11-12 10:54:53,20,W+1.0,4.3278,39000
2025-11-12 10:54:57,11,B+1.0,4.3034,39000
2025-11-12 10:55:00,9,B+1.0,4.2761,39000
2025-11-12 10:55:04,15,B+1.0,4.2649,39000
2025-11-12 10:55:10,20,W+1.0,4.309,39000
2025-11-12 10:55:13,11,B+1.0,4.2886,39000
2025-11-12 10:55:17,15,B+1.0,4.2873,39000
2025-11-12 10:55:22,14,W+1.0,4.2901,39000
2025-11-12 10:55:27,11,B+1.0,4.3066,39000
2025-11-12 10:55:35,26,W+1.0,4.3951,39000
2025-11-12 10:55:39,13,B+1.0,4.373,39000
2025-11-12 10:55:41,9,B+1.0,4.3301,39000
2025-11-12 10:55:45,11,B+1.0,4.3323,39000
2025-11-12 10:55:51,14,W+1.0,4.3498,39000
2025-11-12 10:55:55,13,B+1.0,4.3532,39000
2025-11-12 10:56:00,13,B+1.0,4.3627,39000
2025-11-12 10:56:03,9,B+1.0,4.3366,39000
2025-11-12 10:56:06,9,B+1.0,4.3056,39000
2025-11-12 10:56:08,9,B+1.0,4.279,39000
2025-11-12 10:56:13,15,B+1.0,4.293,39000
2025-11-12 10:56:16,9,B+1.0,4.2681,39000
2025-11-12 10:56:20,15,B+1.0,4.2564,39000
2025-11-12 10:56:26,23,B+1.0,4.2954,39000
2025-11-12 10:56:29,9,B+1.0,4.2738,39000
2025-11-12 10:56:33,11,B+1.0,4.2677,39000
2025-11-12 10:56:36,9,B+1.0,4.2439,39000
2025-11-12 10:56:38,9,B+1.0,4.2127,39000
2025-11-12 10:56:41,9,B+1.0,4.1924,39000
2025-11-12 10:56:46,13,B+1.0,4.2036,39000
2025-11-12 10:56:51,20,W+1.0,4.2121,39000
2025-11-12 10:56:53,9,B+1.0,4.1806,39000
2025-11-12 10:57:03,31,B+1.0,4.2612,39000
