datetime,game_length,game_result,time_per_game,training_steps
2025-11-12 10:52:16,11,B+1.0,5.3088,39000
2025-11-12 10:52:18,9,B+1.0,3.9001,39000
2025-11-12 10:52:25,9,B+1.0,3.5833,39000
2025-11-12 10:52:28,11,B+1.0,3.4749,39000
2025-11-12 10:52:38,26,W+1.0,4.7325,39000
2025-11-12 10:52:41,9,B+1.0,4.4813,39000
2025-11-12 10:52:45,11,B+1.0,4.3671,39000
2025-11-12 10:52:50,13,B+1.0,4.5044,39000
2025-11-12 10:52:58,29,B+1.0,4.8931,39000
2025-11-12 10:53:07,23,B+1.0,5.3128,39000
2025-11-12 10:53:13,14,W+1.0,5.3436,39000
2025-11-12 10:53:16,9,B+1.0,5.1556,39000
2025-11-12 10:53:19,9,B+1.0,4.9721,39000
2025-11-12 10:53:21,9,B+1.0,4.7532,39000
2025-11-12 10:53:24,12,W+1.0,4.6718,39000
2025-11-12 10:53:28,11,B+1.0,4.6342,39000
2025-11-12 10:53:32,9,B+1.0,4.5408,39000
2025-11-12 10:53:39,21,B+1.0,4.693,39000
2025-11-12 10:53:43,11,B+1.0,4.6506,39000
2025-11-12 10:53:48,15,B+1.0,4.6797,39000
2025-11-12 10:53:51,9,B+1.0,4.5889,39000
2025-11-12 10:53:56,21,B+1.0,4.5992,39000
2025-11-12 10:53:58,12,W+1.0,4.5126,39000
2025-11-12 10:54:06,27,B+1.0,4.6457,39000
2025-11-12 10:54:12,18,W+1.0,4.7035,39000
2025-11-12 10:54:18,19,B+1.0,4.7649,39000
2025-11-12 10:54:24,17,B+1.0,4.7929,39000
2025-11-12 10:54:30,22,W+1.0,4.8298,39000
2025-11-12 10:54:33,11,B+1.0,4.7779,39000
2025-11-12 10:54:37,13,B+1.0,4.7497,39000
2025-11-12 10:54:39,9,B+1.0,4.6783,39000
2025-11-12 10:54:43,10,W+1.0,4.6371,39000
2025-11-12 10:54:46,11,B+1.0,4.5919,39000
2025-11-12 10:54:51,16,W+1.0,4.6177,39000
2025-11-12 10:54:59,17,B+1.0,4.7104,39000
2025-11-12 10:55:08,29,B+1.0,4.8239,39000
2025-11-12 10:55:16,24,W+1.0,4.9098,39000
2025-11-12 10:55:23,23,B+1.0,4.9704,39000
2025-11-12 10:55:26,9,B+1.0,4.9231,39000
2025-11-12 10:55:29,9,B+1.0,4.8649,39000
2025-11-12 10:55:32,11,B+1.0,4.8309,39000
2025-11-12 10:55:37,15,B+1.0,4.8157,39000
2025-11-12 10:55:41,13,B+1.0,4.8017,39000
2025-11-12 10:55:47,20,W+1.0,4.8231,39000
2025-11-12 10:55:50,13,B+1.0,4.8015,39000
2025-11-12 10:55:53,9,B+1.0,4.7476,39000
2025-11-12 10:56:01,29,B+1.0,4.8132,39000
2025-11-12 10:56:06,17,B+1.0,4.8318,39000
2025-11-12 10:56:09,9,B+1.0,4.7933,39000
2025-11-12 10:56:13,13,B+1.0,4.776,39000
2025-11-12 10:56:19,16,W+1.0,4.8043,39000
2025-11-12 10:56:23,13,B+1.0,4.7833,39000
2025-11-12 10:56:30,18,W+1.0,4.8136,39000
2025-11-12 10:56:33,11,B+1.0,4.7966,39000
2025-11-12 10:56:38,19,B+1.0,4.7986,39000
2025-11-12 10:56:43,13,B+1.0,4.8035,39000
2025-11-12 10:56:46,9,B+1.0,4.7675,39000
2025-11-12 10:56:52,17,B+1.0,4.777,39000
2025-11-12 10:56:58,17,B+1.0,4.8047,39000
2025-11-12 10:57:02,9,B+1.0,4.7954,39000
2025-11-12 10:57:08,15,B+1.0,4.8137,39000
2025-11-12 10:57:13,17,B+1.0,4.813,39000
2025-11-12 10:57:18,15,B+1.0,4.8259,39000
2025-11-12 10:57:22,9,B+1.0,4.7991,39000
2025-11-12 10:57:25,9,B+1.0,4.7732,39000
2025-11-12 10:57:28,9,B+1.0,4.7482,39000
2025-11-12 10:57:31,11,B+1.0,4.731,39000
2025-11-12 10:57:40,29,B+1.0,4.7897,39000
2025-11-12 10:57:45,16,W+1.0,4.7938,39000
2025-11-12 10:57:50,18,W+1.0,4.7991,39000
2025-11-12 10:57:53,9,B+1.0,4.7744,39000
2025-11-12 10:57:56,9,B+1.0,4.7439,39000
2025-11-12 10:58:00,13,B+1.0,4.73,39000
2025-11-12 10:58:06,19,B+1.0,4.7436,39000
2025-11-12 10:58:11,17,B+1.0,4.7542,39000
2025-11-12 10:58:14,9,B+1.0,4.7343,39000
2025-11-12 10:58:17,9,B+1.0,4.7071,39000
2025-11-12 10:58:20,9,B+1.0,4.6857,39000
2025-11-12 10:58:23,9,B+1.0,4.6593,39000
2025-11-12 10:58:32,27,B+1.0,4.7173,39000
2025-11-12 10:58:36,11,B+1.0,4.7054,39000
2025-11-12 10:58:40,11,B+1.0,4.6966,39000
2025-11-12 10:58:44,12,W+1.0,4.6939,39000
2025-11-12 10:58:50,18,W+1.0,4.7113,39000
2025-11-12 10:58:55,15,B+1.0,4.7132,39000
2025-11-12 10:58:59,11,B+1.0,4.7054,39000
2025-11-12 10:59:06,17,B+1.0,4.7283,39000
2025-11-12 10:59:11,15,B+1.0,4.7319,39000
2025-11-12 10:59:14,9,B+1.0,4.7108,39000
2025-11-12 10:59:17,9,B+1.0,4.6928,39000
2025-11-12 10:59:20,9,B+1.0,4.6721,39000
2025-11-12 10:59:23,11,B+1.0,4.6622,39000
2025-11-12 10:59:29,15,B+1.0,4.6723,39000
2025-11-12 10:59:31,9,B+1.0,4.6479,39000
2025-11-12 10:59:34,9,B+1.0,4.6283,39000
2025-11-12 10:59:37,9,B+1.0,4.6127,39000
2025-11-12 10:59:40,9,B+1.0,4.5928,39000
2025-11-12 10:59:46,17,B+1.0,4.6058,39000
2025-11-12 10:59:51,17,B+1.0,4.6138,39000
2025-11-12 11:00:02,38,W+1.0,4.6738,39000
2025-11-12 11:00:05,9,B+1.0,4.6473,39000
2025-11-12 11:00:10,14,W+1.0,4.675,39000
2025-11-12 11:00:15,17,B+1.0,4.6949,39000
2025-11-12 11:00:18,9,B+1.0,4.697,39000
2025-11-12 11:00:21,9,B+1.0,4.6287,39000
2025-11-12 11:00:25,12,W+1.0,4.6373,39000
2025-11-12 11:00:28,11,B+1.0,4.631,39000
2025-11-12 11:00:31,9,B+1.0,4.6059,39000
2025-11-12 11:00:34,9,B+1.0,4.5572,39000
2025-11-12 11:00:40,13,B+1.0,4.5207,39000
2025-11-12 11:00:42,9,B+1.0,4.4899,39000
2025-11-12 11:00:45,11,B+1.0,4.4903,39000
2025-11-12 11:00:50,15,B+1.0,4.5098,39000
2025-11-12 11:00:54,11,B+1.0,4.5285,39000
2025-11-12 11:00:58,11,B+1.0,4.5314,39000
2025-11-12 11:01:01,11,B+1.0,4.5265,39000
2025-11-12 11:01:04,9,B+1.0,4.524,39000
2025-11-12 11:01:07,9,B+1.0,4.4763,39000
2025-11-12 11:01:17,33,B+1.0,4.5416,39000
