datetime,training_steps,policy_loss,value_loss,ig_loss,learning_rate,total_games,total_samples
2025-11-11 22:55:22,200,4.393468856811523,0.9752628207206726,-0.06584051251411438,0.01,5000,167293
2025-11-11 22:55:30,400,4.387491703033447,0.9590553045272827,-0.054255496710538864,0.01,5000,167293
2025-11-11 22:55:38,600,4.387159824371338,0.9823219776153564,-0.060578759759664536,0.01,5000,167293
2025-11-11 22:55:46,800,4.383546829223633,0.9356794953346252,-0.0473635271191597,0.01,5000,167293
2025-11-11 22:55:53,1000,4.38618278503418,0.9088830351829529,-0.05846458300948143,0.01,5000,167293
2025-11-11 23:35:17,1200,4.3631391525268555,0.959239661693573,-0.022450324147939682,0.01,10000,314656
2025-11-11 23:35:25,1400,4.336206436157227,0.9496737718582153,-0.022623509168624878,0.01,10000,314656
2025-11-11 23:35:33,1600,4.340621471405029,0.9240603446960449,-0.024607621133327484,0.01,10000,314656
2025-11-11 23:35:41,1800,4.341611385345459,0.919921875,-0.022252580150961876,0.01,10000,314656
2025-11-11 23:35:48,2000,4.37338399887085,0.9927970170974731,-0.014997314661741257,0.01,10000,314656
2025-11-12 00:09:31,2200,4.262501239776611,0.8767828941345215,-0.0031759825069457293,0.01,15000,444425
2025-11-12 00:09:39,2400,4.205796241760254,0.8756187558174133,-0.005159102380275726,0.01,15000,444425
2025-11-12 00:09:47,2600,4.24025297164917,0.9542332887649536,-0.01943700760602951,0.01,15000,444425
2025-11-12 00:09:55,2800,4.140628814697266,0.8782033920288086,-0.006703651510179043,0.01,15000,444425
2025-11-12 00:10:02,3000,4.215190410614014,0.9111989140510559,-0.022574760019779205,0.01,15000,444425
2025-11-12 00:39:32,3200,4.204526424407959,0.9730513095855713,-0.0011390293948352337,0.01,20000,556501
2025-11-12 00:39:40,3400,4.086446285247803,0.8438771963119507,0.0022830229718238115,0.01,20000,556501
2025-11-12 00:39:47,3600,4.059911251068115,0.9052618741989136,-0.0009055326227098703,0.01,20000,556501
2025-11-12 00:39:55,3800,4.051486968994141,0.8423892259597778,-0.003030389081686735,0.01,20000,556501
2025-11-12 00:40:03,4000,4.10760498046875,0.8773634433746338,-0.004065952263772488,0.01,20000,556501
2025-11-12 01:05:43,4200,3.949530601501465,0.8392407298088074,0.0075524672865867615,0.01,25000,655916
2025-11-12 01:05:51,4400,3.813754081726074,0.8959680795669556,-0.0030713784508407116,0.01,25000,655916
2025-11-12 01:05:59,4600,3.782258987426758,0.8743196725845337,0.016248496249318123,0.01,25000,655916
2025-11-12 01:06:06,4800,3.8121581077575684,0.8273636102676392,0.013052158057689667,0.01,25000,655916
2025-11-12 01:06:14,5000,3.9513096809387207,0.8617329001426697,0.0044669779017567635,0.01,25000,655916
2025-11-12 01:26:52,5200,3.7909531593322754,0.8578557968139648,0.001209412468597293,0.01,30000,739462
2025-11-12 01:27:00,5400,3.7729945182800293,0.8392486572265625,0.006613816134631634,0.01,30000,739462
2025-11-12 01:27:07,5600,3.672427177429199,0.8743098974227905,0.006997515447437763,0.01,30000,739462
2025-11-12 01:27:15,5800,3.8503737449645996,0.8374654054641724,0.006710568442940712,0.01,30000,739462
2025-11-12 01:27:23,6000,3.7615644931793213,0.92226243019104,0.004692954942584038,0.01,30000,739462
2025-11-12 01:44:40,6200,3.6050095558166504,0.8250110149383545,0.012987534515559673,0.01,35000,813724
2025-11-12 01:44:48,6400,3.649282455444336,0.7453137636184692,0.004789911676198244,0.01,35000,813724
2025-11-12 01:44:55,6600,3.7732033729553223,0.8730899095535278,0.0018319548107683659,0.01,35000,813724
2025-11-12 01:45:03,6800,3.7573373317718506,0.9298287630081177,0.0038708632346242666,0.01,35000,813724
2025-11-12 01:45:11,7000,3.55289626121521,0.8288299441337585,0.007963270880281925,0.01,35000,813724
2025-11-12 02:00:48,7200,3.499264717102051,0.7818344831466675,0.0006930571980774403,0.01,40000,882749
2025-11-12 02:00:56,7400,3.4603335857391357,0.7610914707183838,0.009596569463610649,0.01,40000,882749
2025-11-12 02:01:03,7600,3.6158928871154785,0.8850621581077576,0.017045579850673676,0.01,40000,882749
2025-11-12 02:01:11,7800,3.5943703651428223,0.7847934365272522,0.008460965007543564,0.01,40000,882749
2025-11-12 02:01:19,8000,3.714169502258301,0.8550418615341187,0.018761733546853065,0.01,40000,882749
