datetime,game_length,game_result,time_per_game,training_steps
2025-11-12 10:52:14,14,W+1.0,3.7329,39000
2025-11-12 10:52:21,35,B+1.0,5.072,39000
2025-11-12 10:52:26,11,B+1.0,4.7274,39000
2025-11-12 10:52:29,9,B+1.0,4.2061,39000
2025-11-12 10:52:40,40,W+1.0,5.5091,39000
2025-11-12 10:52:43,9,B+1.0,5.1432,39000
2025-11-12 10:52:45,9,B+1.0,4.7491,39000
2025-11-12 10:52:49,11,B+1.0,4.5639,39000
2025-11-12 10:52:53,17,B+1.0,4.5498,39000
2025-11-12 10:52:56,9,B+1.0,4.3907,39000
2025-11-12 10:52:59,14,W+1.0,4.3135,39000
2025-11-12 10:53:03,11,B+1.0,4.2906,39000
2025-11-12 10:53:07,9,B+1.0,4.241,39000
2025-11-12 10:53:11,9,B+1.0,4.2011,39000
2025-11-12 10:53:15,12,W+1.0,4.1831,39000
2025-11-12 10:53:18,10,W+1.0,4.1546,39000
2025-11-12 10:53:21,12,W+1.0,4.0837,39000
2025-11-12 10:53:27,20,W+1.0,4.1454,39000
2025-11-12 10:53:29,9,B+1.0,4.0672,39000
2025-11-12 10:53:33,12,W+1.0,4.0624,39000
2025-11-12 10:53:46,35,B+1.0,4.4672,39000
2025-11-12 10:53:49,9,B+1.0,4.4154,39000
2025-11-12 10:53:53,9,B+1.0,4.3803,39000
2025-11-12 10:53:58,15,B+1.0,4.417,39000
2025-11-12 10:54:03,13,B+1.0,4.4543,39000
2025-11-12 10:54:06,9,B+1.0,4.3999,39000
2025-11-12 10:54:10,15,B+1.0,4.3703,39000
2025-11-12 10:54:17,21,B+1.0,4.4584,39000
2025-11-12 10:54:28,29,B+1.0,4.6876,39000
2025-11-12 10:54:33,17,B+1.0,4.6994,39000
2025-11-12 10:54:42,29,B+1.0,4.8469,39000
2025-11-12 10:54:47,15,B+1.0,4.8556,39000
2025-11-12 10:54:51,9,B+1.0,4.8089,39000
2025-11-12 10:54:55,15,B+1.0,4.7916,39000
2025-11-12 10:54:58,11,B+1.0,4.74,39000
2025-11-12 10:55:03,14,W+1.0,4.7471,39000
2025-11-12 10:55:07,14,W+1.0,4.7413,39000
2025-11-12 10:55:12,15,B+1.0,4.7275,39000
2025-11-12 10:55:15,12,W+1.0,4.6975,39000
2025-11-12 10:55:20,13,B+1.0,4.6941,39000
2025-11-12 10:55:27,29,B+1.0,4.7641,39000
2025-11-12 10:55:30,9,B+1.0,4.7112,39000
2025-11-12 10:55:37,20,W+1.0,4.7541,39000
2025-11-12 10:55:44,24,W+1.0,4.8165,39000
2025-11-12 10:55:47,9,B+1.0,4.7759,39000
2025-11-12 10:55:52,18,W+1.0,4.7802,39000
2025-11-12 10:55:56,13,B+1.0,4.77,39000
2025-11-12 10:55:59,9,B+1.0,4.7312,39000
2025-11-12 10:56:02,9,B+1.0,4.6901,39000
2025-11-12 10:56:05,9,B+1.0,4.6625,39000
