datetime,game_length,game_result,time_per_game,training_steps
2025-11-12 10:52:17,15,B+1.0,6.4453,39000
2025-11-12 10:52:26,9,B+1.0,5.1875,39000
2025-11-12 10:52:30,13,B+1.0,4.7024,39000
2025-11-12 10:52:34,11,B+1.0,4.5516,39000
2025-11-12 10:52:38,12,W+1.0,4.3957,39000
2025-11-12 10:52:42,13,B+1.0,4.3889,39000
2025-11-12 10:52:44,9,B+1.0,4.1138,39000
2025-11-12 10:52:47,9,B+1.0,3.8576,39000
2025-11-12 10:52:49,9,B+1.0,3.7465,39000
2025-11-12 10:52:53,11,B+1.0,3.6993,39000
2025-11-12 10:52:58,11,B+1.0,3.8053,39000
2025-11-12 10:53:06,32,W+1.0,4.1993,39000
2025-11-12 10:53:08,9,B+1.0,4.0537,39000
2025-11-12 10:53:13,11,B+1.0,4.0613,39000
2025-11-12 10:53:16,11,B+1.0,3.9931,39000
2025-11-12 10:53:19,11,B+1.0,3.9298,39000
2025-11-12 10:53:21,10,W+1.0,3.8593,39000
2025-11-12 10:53:27,23,B+1.0,3.9844,39000
2025-11-12 10:53:30,10,W+1.0,3.9337,39000
2025-11-12 10:53:37,23,B+1.0,4.0672,39000
2025-11-12 10:53:39,9,B+1.0,3.9814,39000
2025-11-12 10:53:44,12,W+1.0,3.9916,39000
2025-11-12 10:53:48,11,B+1.0,3.9953,39000
2025-11-12 10:53:51,11,B+1.0,3.9788,39000
2025-11-12 10:53:55,15,B+1.0,3.9669,39000
2025-11-12 10:53:58,9,B+1.0,3.9341,39000
2025-11-12 10:54:05,21,B+1.0,4.0295,39000
2025-11-12 10:54:07,9,B+1.0,3.9805,39000
2025-11-12 10:54:11,11,B+1.0,3.958,39000
2025-11-12 10:54:14,14,W+1.0,3.9418,39000
2025-11-12 10:54:20,17,B+1.0,4.0194,39000
2025-11-12 10:54:24,17,B+1.0,4.0173,39000
2025-11-12 10:54:30,16,W+1.0,4.0816,39000
2025-11-12 10:54:33,9,B+1.0,4.0427,39000
2025-11-12 10:54:36,11,B+1.0,4.0097,39000
2025-11-12 10:54:43,25,B+1.0,4.0882,39000
2025-11-12 10:54:46,9,B+1.0,4.053,39000
2025-11-12 10:54:53,23,B+1.0,4.1466,39000
2025-11-12 10:54:56,9,B+1.0,4.1124,39000
2025-11-12 10:54:59,9,B+1.0,4.076,39000
2025-11-12 10:55:02,9,B+1.0,4.0571,39000
2025-11-12 10:55:05,11,B+1.0,4.0359,39000
2025-11-12 10:55:09,13,B+1.0,4.0347,39000
2025-11-12 10:55:13,12,W+1.0,4.0333,39000
2025-11-12 10:55:17,9,B+1.0,4.0183,39000
2025-11-12 10:55:20,12,W+1.0,4.0012,39000
2025-11-12 10:55:23,9,B+1.0,3.9819,39000
2025-11-12 10:55:26,9,B+1.0,3.953,39000
2025-11-12 10:55:30,16,W+1.0,3.9562,39000
2025-11-12 10:55:34,13,B+1.0,3.9662,39000
2025-11-12 10:55:37,11,B+1.0,3.95,39000
2025-11-12 10:55:45,29,B+1.0,4.0303,39000
2025-11-12 10:55:50,15,B+1.0,4.0513,39000
2025-11-12 10:55:55,13,B+1.0,4.0617,39000
2025-11-12 10:55:58,9,B+1.0,4.0319,39000
2025-11-12 10:56:02,13,B+1.0,4.0451,39000
2025-11-12 10:56:07,15,B+1.0,4.054,39000
2025-11-12 10:56:12,16,W+1.0,4.0757,39000
2025-11-12 10:56:19,19,B+1.0,4.1195,39000
2025-11-12 10:56:21,9,B+1.0,4.0939,39000
2025-11-12 10:56:24,11,B+1.0,4.0754,39000
2025-11-12 10:56:31,20,W+1.0,4.1148,39000
2025-11-12 10:56:35,12,W+1.0,4.1211,39000
2025-11-12 10:56:40,15,B+1.0,4.1306,39000
2025-11-12 10:56:44,9,B+1.0,4.1187,39000
2025-11-12 10:56:48,16,W+1.0,4.1185,39000
2025-11-12 10:56:51,9,B+1.0,4.1035,39000
2025-11-12 10:56:53,9,B+1.0,4.0829,39000
2025-11-12 10:57:02,33,B+1.0,4.1448,39000
2025-11-12 10:57:05,9,B+1.0,4.1286,39000
2025-11-12 10:57:08,11,B+1.0,4.1189,39000
2025-11-12 10:57:11,9,B+1.0,4.0993,39000
2025-11-12 10:57:14,9,B+1.0,4.083,39000
2025-11-12 10:57:18,12,W+1.0,4.0865,39000
2025-11-12 10:57:24,15,B+1.0,4.1059,39000
2025-11-12 10:57:27,11,B+1.0,4.0978,39000
2025-11-12 10:57:31,9,B+1.0,4.0892,39000
2025-11-12 10:57:34,9,B+1.0,4.0737,39000
2025-11-12 10:57:38,15,B+1.0,4.0776,39000
2025-11-12 10:57:41,9,B+1.0,4.0594,39000
2025-11-12 10:57:43,11,B+1.0,4.045,39000
2025-11-12 10:57:46,9,B+1.0,4.0308,39000
2025-11-12 10:57:49,9,B+1.0,4.0117,39000
2025-11-12 10:57:52,14,W+1.0,4.0045,39000
2025-11-12 10:57:55,10,W+1.0,3.9922,39000
2025-11-12 10:58:01,19,B+1.0,4.0124,39000
2025-11-12 10:58:06,15,B+1.0,4.0237,39000
2025-11-12 10:58:09,9,B+1.0,4.0153,39000
2025-11-12 10:58:15,13,B+1.0,4.0317,39000
2025-11-12 10:58:23,23,B+1.0,4.079,39000
2025-11-12 10:58:28,15,B+1.0,4.088,39000
2025-11-12 10:58:31,9,B+1.0,4.0777,39000
2025-11-12 10:58:35,11,B+1.0,4.08,39000
2025-11-12 10:58:38,9,B+1.0,4.0694,39000
2025-11-12 10:58:41,9,B+1.0,4.0575,39000
2025-11-12 10:58:45,13,B+1.0,4.0565,39000
2025-11-12 10:58:53,19,B+1.0,4.0973,39000
2025-11-12 10:58:59,19,B+1.0,4.1152,39000
2025-11-12 10:59:03,13,B+1.0,4.1127,39000
2025-11-12 10:59:08,13,B+1.0,4.1179,39000
2025-11-12 10:59:10,9,B+1.0,4.0793,39000
2025-11-12 10:59:16,19,B+1.0,4.1016,39000
2025-11-12 10:59:20,9,B+1.0,4.0952,39000
2025-11-12 10:59:25,23,B+1.0,4.1066,39000
2025-11-12 10:59:28,9,B+1.0,4.0968,39000
2025-11-12 10:59:30,9,B+1.0,4.0807,39000
2025-11-12 10:59:33,9,B+1.0,4.0825,39000
2025-11-12 10:59:37,13,B+1.0,4.1007,39000
2025-11-12 10:59:42,18,W+1.0,4.124,39000
2025-11-12 10:59:45,9,B+1.0,4.1202,39000
2025-11-12 10:59:48,11,B+1.0,4.1038,39000
2025-11-12 10:59:53,16,W+1.0,4.0646,39000
2025-11-12 10:59:58,19,B+1.0,4.0974,39000
2025-11-12 11:00:04,19,B+1.0,4.1147,39000
2025-11-12 11:00:12,23,B+1.0,4.1621,39000
2025-11-12 11:00:15,9,B+1.0,4.1582,39000
2025-11-12 11:00:17,9,B+1.0,4.1565,39000
2025-11-12 11:00:20,9,B+1.0,4.1206,39000
2025-11-12 11:00:23,15,B+1.0,4.1276,39000
2025-11-12 11:00:29,13,B+1.0,4.1128,39000
2025-11-12 11:00:31,9,B+1.0,4.1198,39000
2025-11-12 11:00:37,23,B+1.0,4.1339,39000
2025-11-12 11:00:41,11,B+1.0,4.1346,39000
2025-11-12 11:00:49,26,W+1.0,4.1733,39000
2025-11-12 11:00:54,20,W+1.0,4.1936,39000
2025-11-12 11:00:57,11,B+1.0,4.1904,39000
2025-11-12 11:01:02,13,B+1.0,4.1769,39000
2025-11-12 11:01:06,9,B+1.0,4.1886,39000
2025-11-12 11:01:14,19,B+1.0,4.2314,39000
2025-11-12 11:01:17,11,B+1.0,4.2272,39000
2025-11-12 11:01:20,9,B+1.0,4.1937,39000
2025-11-12 11:01:23,9,B+1.0,4.1851,39000
2025-11-12 11:01:26,11,B+1.0,4.1575,39000
2025-11-12 11:01:30,11,B+1.0,4.166,39000
2025-11-12 11:01:34,17,B+1.0,4.1807,39000
2025-11-12 11:01:40,17,B+1.0,4.1709,39000
2025-11-12 11:01:48,23,B+1.0,4.2228,39000
2025-11-12 11:01:53,14,W+1.0,4.1908,39000
2025-11-12 11:01:57,15,B+1.0,4.2081,39000
2025-11-12 11:02:01,11,B+1.0,4.216,39000
2025-11-12 11:02:04,11,B+1.0,4.2141,39000
2025-11-12 11:02:09,18,W+1.0,4.2374,39000
2025-11-12 11:02:13,11,B+1.0,4.2396,39000
2025-11-12 11:02:18,13,B+1.0,4.2427,39000
2025-11-12 11:02:22,11,B+1.0,4.2483,39000
2025-11-12 11:02:26,12,W+1.0,4.2552,39000
2025-11-12 11:02:30,12,W+1.0,4.2667,39000
2025-11-12 11:02:34,14,W+1.0,4.2828,39000
2025-11-12 11:02:40,19,B+1.0,4.2977,39000
2025-11-12 11:02:44,13,B+1.0,4.302,39000
